iter	RMSE
0	14.84251989
1	14.38927354
2	13.93084925
3	13.55518865
4	13.1502767
5	12.78816756
6	12.44926218
7	12.09704294
8	11.76650968
9	11.43449827
10	11.12625569
11	10.81671981
12	10.53334573
13	10.23702852
14	10.00242739
15	9.732419964
16	9.497274792
17	9.274211087
18	9.089869055
19	8.887303608
20	8.687432014
21	8.506737683
22	8.338769301
23	8.164859068
24	8.002272104
25	7.857127652
26	7.71644756
27	7.59200759
28	7.451628757
29	7.338995877
30	7.233899298
31	7.126736228
32	7.031726622
33	6.942759189
34	6.85346232
35	6.765953316
36	6.685979789
37	6.599970999
38	6.527375712
39	6.450460248
40	6.390901393
41	6.324528488
42	6.256920549
43	6.196450312
44	6.139779815
45	6.093498096
46	6.041724398
47	5.993545869
48	5.950521783
49	5.91661444
50	5.871496298
51	5.832577654
52	5.799307812
53	5.76412433
54	5.731351083
55	5.697933133
56	5.667566775
57	5.638830688
58	5.614064448
59	5.58856252
60	5.563194012
61	5.546913398
62	5.532049459
63	5.5151942
64	5.493324649
65	5.472078363
66	5.451799616
67	5.436768233
68	5.415616082
69	5.399554156
70	5.387006134
71	5.377596034
72	5.364356364
73	5.35023225
74	5.334966791
75	5.318848902
76	5.307248094
77	5.294614695
78	5.280075676
79	5.267284948
80	5.255890708
81	5.245190055
82	5.233159504
83	5.214091676
84	5.20891828
85	5.197159935
86	5.193049523
87	5.18274944
88	5.17278922
89	5.166425694
90	5.157115945
91	5.149217884
92	5.134572836
93	5.126133295
94	5.118093802
95	5.107584775
96	5.101446788
97	5.092955685
98	5.08411199
99	5.072344545
