iter	Passed	Remaining
0	1	183
1	3	174
2	4	159
3	6	144
4	7	140
5	8	137
6	10	133
7	11	131
8	12	129
9	14	128
10	15	126
11	17	128
12	19	127
13	20	127
14	22	128
15	24	128
16	25	125
17	27	124
18	28	122
19	30	120
20	31	119
21	33	118
22	34	116
23	36	114
24	37	112
25	39	111
26	40	109
27	41	107
28	43	105
29	44	103
30	46	102
31	47	101
32	49	99
33	50	97
34	51	96
35	53	94
36	54	92
37	55	90
38	57	89
39	58	88
40	60	86
41	62	85
42	63	84
43	64	82
44	66	81
45	67	79
46	69	78
47	70	76
48	72	74
49	73	73
50	74	71
51	76	70
52	78	69
53	79	67
54	80	66
55	82	64
56	83	63
57	84	61
58	86	59
59	87	58
60	89	56
61	90	55
62	92	54
63	94	53
64	95	51
65	96	49
66	98	48
67	99	46
68	101	45
69	102	43
70	103	42
71	105	41
72	107	39
73	108	38
74	109	36
75	111	35
76	112	33
77	113	32
78	115	30
79	116	29
80	118	27
81	119	26
82	121	24
83	122	23
84	123	21
85	125	20
86	126	18
87	127	17
88	128	15
89	130	14
90	131	13
91	133	11
92	134	10
93	136	8
94	137	7
95	139	5
96	140	4
97	141	2
98	143	1
99	144	0
